word_count,lexical_diversity,ne_density,readability,is_fake
3,1.0,0.0,90.99000000000004,0
24,0.875,0.0,95.955,0
21,0.9523809523809523,0.0,82.9014285714286,0
8,1.0,0.0,82.39000000000001,0
99,0.7171717171717171,0.010101010101010102,69.1949054982818,1
24,0.9583333333333334,0.0,96.49000000000002,1
312,0.5544871794871795,0.02564102564102564,59.43407258064519,0
11,0.8181818181818182,0.0,64.9245454545455,0
199,0.6683417085427136,0.09045226130653267,71.45630154639176,0
76,0.9078947368421053,0.0,82.4954678362573,1
47,0.7872340425531915,0.02127659574468085,92.89400000000002,1
141,0.7163120567375887,0.03546099290780142,85.21108467072497,1
82,0.7926829268292683,0.0,79.3937804878049,1
21,0.9523809523809523,0.0,94.98714285714289,1
24,0.9166666666666666,0.0,85.91500000000002,1
50,0.9,0.0,73.16866666666668,0
23,0.9565217391304348,0.043478260869565216,95.84945652173916,0
100,0.73,0.0,78.971,0
46,0.782608695652174,0.0,71.72818840579711,1
14,1.0,0.0,36.572857142857174,0
96,0.7916666666666666,0.0,75.00953216374272,1
101,0.7029702970297029,0.019801980198019802,65.91419306930695,1
21,0.9047619047619048,0.047619047619047616,59.20607142857145,1
25,0.96,0.04,68.93950000000002,0
18,0.8888888888888888,0.0,56.965,0
23,1.0,0.0,91.84272727272729,0
64,0.796875,0.015625,66.33875,1
111,0.8378378378378378,0.02702702702702703,53.550810810810816,0
38,0.8157894736842105,0.0,80.43622807017547,0
60,0.8166666666666667,0.016666666666666666,85.01500000000003,1
80,0.8125,0.0,82.08250000000002,0
101,0.7920792079207921,0.009900990099009901,71.64421617161717,0
43,0.8837209302325582,0.023255813953488372,91.86413953488372,1
24,1.0,0.041666666666666664,92.965,1
73,0.8493150684931506,0.0,73.40616438356165,1
142,0.7112676056338029,0.02112676056338028,76.6224647887324,1
38,0.8947368421052632,0.02631578947368421,73.75728070175441,1
61,0.8360655737704918,0.03278688524590164,60.98903688524592,1
150,0.7,0.006666666666666667,75.00375000000003,1
46,0.8913043478260869,0.0,87.1491739130435,0
112,0.7053571428571429,0.0,71.0125,0
7,1.0,0.0,103.04428571428575,0
8,1.0,0.0,82.39000000000001,1
71,0.8169014084507042,0.0,80.22785714285716,0
43,0.7906976744186046,0.023255813953488372,60.88302325581397,0
19,0.9473684210526315,0.05263157894736842,54.70828947368423,1
58,0.7931034482758621,0.0,78.34508620689657,1
63,0.746031746031746,0.06349206349206349,84.76303571428572,1
9,1.0,0.0,103.04428571428575,0
65,0.8,0.0,78.40894230769231,1
182,0.6758241758241759,0.038461538461538464,73.81933455433459,1
72,0.6527777777777778,0.013888888888888888,86.34000000000002,1
34,0.9117647058823529,0.08823529411764706,91.2133823529412,1
18,0.9444444444444444,0.0,69.14500000000001,0
51,0.8235294117647058,0.0,81.75647058823532,0
23,1.0,0.043478260869565216,91.71893939393942,0
147,0.7755102040816326,0.04081632653061224,70.68723562152135,1
25,1.0,0.04,76.55266666666668,1
67,0.7761194029850746,0.029850746268656716,59.77703358208956,1
95,0.8421052631578947,0.042105263157894736,82.06136363636367,1
102,0.7058823529411765,0.0,76.94669117647061,1
80,0.7125,0.025,76.385,1
44,0.8863636363636364,0.022727272727272728,82.22909090909094,0
28,0.7142857142857143,0.0,42.4507142857143,1
41,0.8536585365853658,0.0,80.89736585365856,0
59,0.8983050847457628,0.01694915254237288,73.53891242937857,0
43,0.9069767441860465,0.06976744186046512,68.75279069767443,1
